날짜,포트폴리오 이름,캠페인 유형,캠페인 이름,리테일러,국가,상태,통화,예산,타겟팅 유형,입찰 전략,광고 노출 수,작년 광고 노출 수,클릭수,작년 클릭 수,CTR(클릭률),지출,작년 지출,클릭당 비용(CPC),작년 클릭당 비용(CPC),7일 총 주문(건수),"총 판매 광고 비용(ACOS) ",총 광고 수익률(ROAS),"7일 총 판매 "
"Aug 27, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,9353,,68,,0.7270000000000001%,$40.79,,$0.5998529,$0.0,16,13.501%,7.41,$302.12
"Aug 27, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,5604,,104,,1.856%,$56.29,,$0.54125,$0.0,10,30.895%,3.24,$182.2
"Aug 27, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,2103,,41,,1.95%,$21.84,,$0.5326829,$0.0,7,27.063%,3.7,$80.7
"Aug 27, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$57.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,1337,,26,,1.9449999999999998%,$23.15,,$0.8903846,$0.0,3,77.946%,1.28,$29.7
"Aug 28, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,2116,,29,,1.371%,$13.46,,$0.4641379,$0.0,6,19.592000000000002%,5.1,$68.7
"Aug 28, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,12399,,48,,0.387%,$30.02,,$0.6254167,$0.0,15,11.215%,8.92,$267.68
"Aug 28, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$57.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,1478,,27,,1.8270000000000002%,$24.02,,$0.8896295999999999,$0.0,3,80.875%,1.24,$29.7
"Aug 28, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,4357,,59,,1.354%,$34.43,,$0.5835593,$0.0,15,19.573999999999998%,5.11,$175.9
"Aug 29, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,2634,,37,,1.405%,$16.21,,$0.43810809999999994,$0.0,17,5.708%,17.52,$284.0
"Aug 29, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,6077,,98,,1.6129999999999998%,$53.7,,$0.5479592,$0.0,13,33.169%,3.01,$161.9
"Aug 29, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$57.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,1832,,31,,1.6920000000000002%,$28.22,,$0.9103226,$0.0,3,95.017%,1.05,$29.7
"Aug 29, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,14011,,72,,0.514%,$48.74,,$0.6769444,$0.0,16,16.746%,5.97,$291.05
"Aug 30, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,15089,,77,,0.51%,$50.18,,$0.6516883,$0.0,22,12.272%,8.15,$408.9
"Aug 30, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,3274,,63,,1.924%,$29.47,,$0.4677778,$0.0,14,13.435%,7.44,$219.35
"Aug 30, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,8352,,122,,1.461%,$64.35,,$0.527459,$0.0,22,20.512%,4.88,$313.72
"Aug 30, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$57.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,1783,,20,,1.122%,$16.63,,$0.8315,$0.0,5,33.596%,2.98,$49.5
"Aug 31, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,14298,,54,,0.378%,$32.55,,$0.6027778,$0.0,6,28.704%,3.48,$113.4
"Aug 31, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$57.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,1851,,26,,1.405%,$20.29,,$0.7803846,$0.0,3,68.316%,1.46,$29.7
"Aug 31, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,7178,,113,,1.574%,$59.28,,$0.5246018,$0.0,13,38.444%,2.6,$154.2
"Aug 31, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,3022,,51,,1.688%,$24.26,,$0.4756863,$0.0,10,16.024%,6.24,$151.4
"Sep 01, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,3164,,55,,1.738%,$25.87,,$0.4703636,$0.0,4,62.038000000000004%,1.61,$41.7
"Sep 01, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,8230,,110,,1.337%,$53.02,,$0.48200000000000004,$0.0,10,42.382%,2.36,$125.1
"Sep 01, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,10813,,44,,0.407%,$28.6,,$0.65,$0.0,7,21.296%,4.7,$134.3
"Sep 01, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_Carrot_Brand/General_260901,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,793,,8,,1.009%,$6.45,,$0.80625,$0.0,2,17.063%,5.86,$37.8
"Sep 01, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$57.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,1974,,30,,1.52%,$24.28,,$0.8093333,$0.0,8,30.657%,3.26,$79.2
"Sep 02, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,8639,,50,,0.579%,$86.17,,$1.7234,$0.0,4,174.081%,0.57,$49.5
"Sep 02, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,6644,,49,,0.738%,$45.8,,$0.9346939000000001,$0.0,13,27.162%,3.68,$168.62
"Sep 02, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_Carrot_Brand/General_260901,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,3998,,30,,0.75%,$42.16,,$1.4053333000000001,$0.0,3,74.356%,1.34,$56.7
