Date,Portfolio name,Program Type,Campaign Name,Retailer,Country,Status,Currency,Budget Amount,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-Thru Rate (CTR),Spend,Last Year Spend,Cost Per Click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),"Total Advertising Cost of Sales (ACOS) ",Total Return on Advertising Spend (ROAS),"7 Day Total Sales "
"Jun 11, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,13994,,313,,2.237%,$63.25,,$0.2020767,$0.0,49,8.559999999999999%,11.68,$738.89
"Jun 11, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,2810,,43,,1.53%,$29.07,,$0.6760465000000001,$0.0,5,26.168000000000003%,3.82,$111.09
"Jun 11, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,289,,3,,1.038%,$3.2,,$1.0666666999999999,$0.0,0,0.0%,0.0,$0.0
"Jun 12, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,5491,,51,,0.9289999999999999%,$37.57,,$0.7366667,$0.0,3,48.167%,2.08,$78.0
"Jun 12, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,15553,,324,,2.083%,$71.2,,$0.2197531,$0.0,45,9.942%,10.06,$716.17
"Jun 12, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,3603,,85,,2.359%,$26.83,,$0.3156471,$0.0,15,10.184%,9.82,$263.45
"Jun 12, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,5824,,71,,1.2189999999999999%,$13.48,,$0.1898592,$0.0,12,6.808%,14.69,$197.99
"Jun 12, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,874,,19,,2.174%,$18.69,,$0.9836842,$0.0,6,31.465%,3.18,$59.4
"Jun 13, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,4230,,100,,2.3640000000000003%,$32.3,,$0.32299999999999995,$0.0,6,46.302%,2.16,$69.76
"Jun 13, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,6799,,82,,1.206%,$15.15,,$0.1847561,$0.0,5,25.852999999999998%,3.87,$58.6
"Jun 13, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,5992,,60,,1.001%,$43.82,,$0.7303333000000001,$0.0,5,52.354%,1.91,$83.7
"Jun 13, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,452,,5,,1.106%,$5.21,,$1.042,$0.0,1,58.538999999999994%,1.71,$8.9
"Jun 13, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,18619,,438,,2.352%,$98.37,,$0.224589,$0.0,60,12.145999999999999%,8.23,$809.91
"Jun 14, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,131,,3,,2.29%,$3.2,,$1.0666666999999999,$0.0,0,0.0%,0.0,$0.0
"Jun 14, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,22437,,401,,1.7870000000000001%,$91.99,,$0.22940149999999998,$0.0,53,12.463000000000001%,8.02,$738.13
"Jun 14, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,4470,,96,,2.1479999999999997%,$30.74,,$0.32020829999999995,$0.0,14,14.834%,6.74,$207.22
"Jun 14, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,6914,,64,,0.9259999999999999%,$11.94,,$0.1865625,$0.0,11,9.11%,10.98,$131.06
"Jun 14, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,6084,,97,,1.5939999999999999%,$70.73,,$0.7291753,$0.0,17,25.014999999999997%,4.0,$282.75
"Jun 15, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,4105,,92,,2.241%,$22.57,,$0.2453261,$0.0,11,15.326999999999998%,6.52,$147.26
"Jun 15, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,7313,,166,,2.27%,$74.94,,$0.45144579999999995,$0.0,27,15.448%,6.47,$485.1
"Jun 15, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,6170,,57,,0.924%,$38.6,,$0.677193,$0.0,2,129.097%,0.77,$29.9
"Jun 15, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,670,,3,,0.44799999999999995%,$2.08,,$0.6933333,$0.0,1,10.452%,9.57,$19.9
"Jun 15, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,41820,,511,,1.222%,$147.99,,$0.2896086,$0.0,54,17.915%,5.58,$826.09
"Jun 16, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,6225,,121,,1.944%,$49.32,,$0.40760330000000006,$0.0,18,16.608%,6.02,$296.96
"Jun 16, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,16163,,119,,0.736%,$98.32,,$0.8262185,$0.0,9,80.379%,1.24,$122.32
"Jun 16, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,15274,,240,,1.5709999999999997%,$59.59,,$0.2482917,$0.0,36,12.304%,8.13,$484.33
"Jun 16, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,3300,,31,,0.9390000000000001%,$22.08,,$0.7122581,$0.0,4,41.117%,2.43,$53.7
"Jun 16, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,5353,,80,,1.494%,$7.71,,$0.09637499999999999,$0.0,12,4.216%,23.72,$182.86
"Jun 17, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,113,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Jun 17, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,6,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Jun 17, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,19416,,311,,1.6019999999999999%,$73.18,,$0.23530550000000003,$0.0,49,10.834000000000001%,9.23,$675.48
"Jun 17, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,4117,,106,,2.5749999999999997%,$10.92,,$0.1030189,$0.0,15,4.714%,21.21,$231.65
"Jun 17, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,4961,,105,,2.117%,$33.88,,$0.3226667,$0.0,20,11.774999999999999%,8.49,$287.72
"Jun 18, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,18404,,184,,1.0%,$34.47,,$0.18733699999999998,$0.0,28,9.439%,10.59,$365.19
"Jun 18, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,3598,,99,,2.752%,$10.1,,$0.10202019999999999,$0.0,15,3.936%,25.41,$256.62
"Jun 18, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,215,,6,,2.791%,$1.2,,$0.2,$0.0,0,0.0%,0.0,$0.0
"Jun 18, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,56,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Jun 18, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,4425,,82,,1.8530000000000002%,$26.63,,$0.32475610000000005,$0.0,12,17.376%,5.76,$153.26
"Jun 19, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,45,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Jun 19, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,20554,,189,,0.9199999999999999%,$35.6,,$0.1883598,$0.0,24,11.014%,9.08,$323.22
"Jun 19, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,3321,,103,,3.101%,$10.12,,$0.0982524,$0.0,25,2.25%,44.45,$449.86
"Jun 19, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,3689,,52,,1.41%,$15.92,,$0.3061538,$0.0,8,18.027%,5.55,$88.31
"Jun 19, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,240,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Jun 20, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,66,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Jun 20, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,216,,4,,1.8519999999999999%,$0.75,,$0.1875,$0.0,0,0.0%,0.0,$0.0
"Jun 20, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,7605,,169,,2.222%,$51.87,,$0.3069231,$0.0,40,11.777999999999999%,8.49,$440.4
"Jun 20, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,4700,,134,,2.851%,$13.28,,$0.09910450000000001,$0.0,21,4.9799999999999995%,20.08,$266.68
"Jun 20, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,26421,,241,,0.9119999999999999%,$43.63,,$0.18103729999999998,$0.0,23,15.065999999999999%,6.64,$289.59
"Jun 21, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,22046,,257,,1.166%,$47.31,,$0.18408560000000002,$0.0,26,16.031000000000002%,6.24,$295.11
"Jun 21, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,5128,,125,,2.4379999999999997%,$37.69,,$0.30152,$0.0,29,8.635%,11.58,$436.46
"Jun 21, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,3619,,115,,3.1780000000000004%,$11.67,,$0.10147830000000001,$0.0,12,6.893000000000001%,14.51,$169.3
"Jun 21, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,156,,4,,2.564%,$0.8,,$0.2,$0.0,1,4.02%,24.87,$19.9
"Jun 21, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,71,,1,,1.4080000000000001%,$0.1,,$0.1,$0.0,0,0.0%,0.0,$0.0
"Jun 22, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,516,,15,,2.907%,$2.93,,$0.1953333,$0.0,1,32.921%,3.04,$8.9
"Jun 22, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,539,,4,,0.742%,$4.54,,$1.135,$0.0,0,0.0%,0.0,$0.0
"Jun 22, 2026",Monthly_ON,Sponsored Products,SP_MIX_DFC_260204_260601,Amazon,United States,PAUSED,USD,$41.0,Manual targeting,Dynamic bids - down only,1748,,36,,2.059%,$10.08,,$0.28,$0.0,7,12.519%,7.99,$80.52
"Jun 22, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,7784,,128,,1.644%,$55.02,,$0.4298438,$0.0,29,11.543000000000001%,8.66,$476.64
"Jun 22, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,892,,13,,1.4569999999999999%,$2.39,,$0.18384620000000002,$0.0,2,8.951%,11.17,$26.7
"Jun 22, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,36632,,286,,0.781%,$175.32,,$0.613007,$0.0,34,38.557%,2.59,$454.7
"Jun 23, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,196,,5,,2.551%,$0.92,,$0.184,$0.0,3,2.666%,37.51,$34.51
"Jun 23, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,63186,,599,,0.9480000000000001%,$937.44,,$1.5650083000000001,$0.0,216,27.064%,3.69,$3463.8
"Jun 23, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,1095707,,7170,,0.654%,$8763.14,,$1.2221953,$0.0,982,66.723%,1.5,$13133.64
"Jun 23, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,15490,,130,,0.839%,$183.89,,$1.4145385,$0.0,24,39.232%,2.55,$468.73
"Jun 23, 2026",Monthly_ON,Sponsored Products,SP_MIX_DFC_260204_260601,Amazon,United States,PAUSED,USD,$41.0,Manual targeting,Dynamic bids - down only,35754,,417,,1.166%,$467.41,,$1.1208873,$0.0,106,36.894%,2.71,$1266.91
"Jun 24, 2026",Monthly_ON,Sponsored Products,SP_MIX_DFC_260204_260601,Amazon,United States,PAUSED,USD,$41.0,Manual targeting,Dynamic bids - down only,92260,,541,,0.586%,$637.08,,$1.177597,$0.0,117,41.958%,2.38,$1518.36
