날짜,포트폴리오 이름,캠페인 유형,캠페인 이름,리테일러,국가,상태,통화,예산,타겟팅 유형,입찰 전략,광고 노출 수,작년 광고 노출 수,클릭수,작년 클릭 수,CTR(클릭률),지출,작년 지출,클릭당 비용(CPC),작년 클릭당 비용(CPC),7일 총 주문(건수),"총 판매 광고 비용(ACOS) ",총 광고 수익률(ROAS),"7일 총 판매 "
"Aug 18, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$165.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,112410,,186,,0.165%,$81.4,,$0.43763440000000003,$0.0,31,20.366%,4.91,$399.68
"Aug 18, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$44.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,13827,,156,,1.1280000000000001%,$55.42,,$0.3552564,$0.0,21,17.875%,5.59,$310.04
"Aug 18, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$113.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,198290,,108,,0.054%,$44.28,,$0.41,$0.0,25,10.027999999999999%,9.97,$441.58
"Aug 18, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$96.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,9048,,39,,0.43099999999999994%,$32.19,,$0.8253846,$0.0,13,24.099999999999998%,4.15,$133.57
"Aug 19, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$113.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,114855,,96,,0.084%,$41.24,,$0.42958329999999995,$0.0,24,7.806%,12.81,$528.3
"Aug 19, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$96.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,8001,,42,,0.525%,$35.14,,$0.8366667,$0.0,12,32.036%,3.12,$109.69
"Aug 19, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$44.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,11050,,170,,1.538%,$46.52,,$0.2736471,$0.0,20,18.493000000000002%,5.41,$251.55
"Aug 19, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$165.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,77451,,247,,0.319%,$100.13,,$0.4053846,$0.0,27,31.386999999999997%,3.19,$319.02
"Aug 20, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$113.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,45890,,118,,0.257%,$52.09,,$0.4414407,$0.0,20,15.489%,6.46,$336.3
"Aug 20, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$44.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,4478,,137,,3.0589999999999997%,$17.99,,$0.13131389999999998,$0.0,7,19.516%,5.12,$92.18
"Aug 20, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$165.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,51788,,256,,0.494%,$104.34,,$0.4075781,$0.0,38,22.539%,4.44,$462.94
"Aug 20, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$96.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,6695,,36,,0.538%,$29.48,,$0.8188889,$0.0,4,83.845%,1.19,$35.16
"Aug 21, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$96.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,6060,,29,,0.479%,$21.38,,$0.7372414,$0.0,1,243.23100000000002%,0.41,$8.79
"Aug 21, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$44.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,4206,,126,,2.996%,$19.03,,$0.1510317,$0.0,11,14.32%,6.98,$132.89
"Aug 21, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$113.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,37551,,130,,0.346%,$55.71,,$0.4285385,$0.0,30,11.692%,8.55,$476.5
"Aug 21, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$165.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,43352,,209,,0.482%,$86.9,,$0.4157895,$0.0,21,32.946999999999996%,3.04,$263.76
"Aug 22, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$165.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,25477,,173,,0.679%,$74.82,,$0.4324855,$0.0,26,23.299%,4.29,$321.13
"Aug 22, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$96.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,4729,,45,,0.9520000000000001%,$48.14,,$1.0697778,$0.0,11,49.223%,2.03,$97.8
"Aug 22, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$113.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,25256,,90,,0.356%,$40.56,,$0.45066670000000003,$0.0,22,11.818%,8.46,$343.2
"Aug 22, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$44.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,5896,,148,,2.5100000000000002%,$28.21,,$0.1906081,$0.0,7,36.556%,2.74,$77.17
