Google_Daily_RAW_demandgen_cursor
2026년 8월 18일 - 2026년 9월 16일
일,캠페인 유형,광고그룹,클릭수,노출수,통화 코드,비용,클릭률(CTR),평균 CPC
2026-09-01,디맨드젠 캠페인,[US]Amazon_Google_DemandGen_2026_Rice,142,"7,443",USD,11.13,1.91%,0.08
2026-08-31,디맨드젠 캠페인,[US]Amazon_Google_DemandGen_2026_Rice,0,0,USD,0.00,0,0
